MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
2015,Maruti,Ertiga ZXI,Manual,"75,586 km",PetrolMH-04,1st Owner,"₹6,47,000"
2016,Hyundai,Creta 1.6 S,Manual,"13,826 km",PetrolMH-43,1st Owner,"₹8,29,000"
2019,Hyundai,VENUE 1.0L Turbo GDI SX MT,Manual,"16,049 km",PetrolMH-47,1st Owner,"₹9,79,000"
2021,Maruti,S Cross ZETA SHVS PETROL,Manual,"29,515 km",PetrolMH-46,1st Owner,"₹10,48,000"
2018,Maruti,Vitara Brezza VDI OPT,Manual,"76,130 km",DieselMH-47,2nd Owner,"₹8,04,000"
2015,Hyundai,Creta 1.6 SX PLUS PETROL,Manual,"55,519 km",PetrolMH-02,1st Owner,"₹8,15,000"
2018,Maruti,Vitara Brezza ZDI PLUS,Manual,"27,728 km",DieselMH-46,1st Owner,"₹9,68,000"
2016,Ford,Ecosport 1.5 TREND TDCI,Manual,"78,870 km",DieselMH-03,1st Owner,"₹5,23,000"
2018,Renault,Duster RXS CVT 106 PS,Automatic,"34,396 km",Petrol + CNGMH-47,1st Owner,"₹7,34,000"
2020,Tata,NEXON XMA 1.2,Automatic,"45,790 km",PetrolMH-04,1st Owner,"₹8,55,000"
2017,Hyundai,Creta 1.6 SX PLUS PETROL,Manual,"41,408 km",PetrolMH-47,1st Owner,"₹8,72,000"
2018,Tata,NEXON XZA+ 1.5,Automatic,"58,204 km",DieselMH-04,1st Owner,"₹9,66,000"
2021,Maruti,Vitara Brezza ZXI +,Manual,"5,061 km",PetrolMH-46,1st Owner,"₹10,56,000"
2019,KIA,SELTOS GTX+ 1.4 MT,Manual,"12,554 km",PetrolMH-03,1st Owner,"₹14,51,000"
2016,Hyundai,Creta 1.6 SX PLUS DIESEL,Manual,"88,095 km",DieselMH-04,1st Owner,"₹9,82,000"
2015,Renault,Duster 85 PS RXL,Manual,"80,797 km",DieselMH-02,1st Owner,"₹5,94,000"
2012,Toyota,Innova 2.5 GX 8 STR BS IV,Manual,"3,53,288 km",DieselMH-02,1st Owner,"₹6,15,000"
2021,Tata,Safari XZ+ 2.0 KRYOTEC,Manual,"12,120 km",DieselMH-05,1st Owner,"₹21,18,600"
2018,Honda,WR-V 1.2 i-VTEC S MT Edge Edition,Manual,"13,228 km",PetrolMH-01,1st Owner,"₹7,91,000"
2017,Ford,Ecosport 1.5 TITANIUM TI VCT AT,Automatic,"35,005 km",PetrolMH-03,2nd Owner,"₹6,16,000"
2019,Maruti,Vitara Brezza ZDI PLUS,Manual,"45,213 km",DieselMH-01,1st Owner,"₹9,61,000"
2017,Maruti,Ertiga ZDI SHVS,Manual,"54,004 km",DieselMH-47,1st Owner,"₹9,28,000"
2017,Maruti,Ertiga VDI SHVS,Manual,"21,655 km",DieselMH-01,1st Owner,"₹8,93,000"
2018,Hyundai,Creta 1.6 SX PLUS AUTO PETROL,Automatic,"94,139 km",PetrolMH-47,1st Owner,"₹9,96,000"
2018,Mahindra,TUV300 T 10 AT,Automatic,"57,813 km",DieselMH-04,2nd Owner,"₹6,12,099"
2017,Hyundai,Creta 1.6 SX PLUS AUTO PETROL,Automatic,"27,180 km",PetrolMH-02,1st Owner,"₹10,23,000"
2014,Maruti,Ertiga VXI CNG,Manual,"86,803 km",Petrol + CNGMH-05,1st Owner,"₹6,64,000"
2019,Tata,Harrier XZ 2.0L Kryotec,Manual,"49,812 km",DieselMH-01,1st Owner,"₹13,70,000"
2021,Honda,WR-V 1.2 SV MT,Manual,"3,427 km",PetrolMH-03,1st Owner,"₹9,09,000"
2018,Tata,NEXON XZ+ 1.5,Manual,"53,111 km",DieselMH-01,2nd Owner,"₹8,04,000"
2017,Hyundai,Creta SX PLUS 1.6 DUAL TONE VTVT,Manual,"89,426 km",PetrolMH-48,1st Owner,"₹8,18,000"
2013,Maruti,Ertiga ZXI,Manual,"43,637 km",PetrolMH-03,2nd Owner,"₹5,73,000"
2019,MG,HECTOR SHARP DCT PETROL,Automatic,"29,646 km",PetrolMH-46,1st Owner,"₹16,15,000"
2019,MG,HECTOR SHARP DCT PETROL,Automatic,"50,866 km",PetrolMH-02,1st Owner,"₹15,26,000"
2017,Hyundai,Creta 1.6 CRDI SX PLUS AUTO,Automatic,"39,486 km",DieselMH-48,1st Owner,"₹12,76,000"
2018,Honda,WR-V 1.2 i-VTEC VX MT,Manual,"14,866 km",PetrolMH-04,2nd Owner,"₹6,58,000"
2017,Hyundai,Creta 1.6 CRDI SX PLUS AUTO,Automatic,"45,832 km",DieselMH-47,1st Owner,"₹13,22,000"
2019,Hyundai,Creta 1.6 VTVT SX AUTO,Automatic,"19,947 km",PetrolMH-12,1st Owner,"₹14,26,000"
2018,Toyota,YARIS G CVT,Automatic,"56,687 km",PetrolMH-14,1st Owner,"₹8,84,000"
2020,Honda,Amaze VX AT I DTEC,Automatic,"70,062 km",DieselMH-12,1st Owner,"₹9,62,000"
2019,Honda,Amaze 1.2 SMT I VTEC,Manual,"27,054 km",PetrolMH-05,2nd Owner,"₹6,16,000"
2018,Maruti,Ciaz ALPHA 1.4 VVT,Manual,"21,163 km",PetrolMH-12,1st Owner,"₹8,15,000"
2017,Honda,City ZX CVT,Automatic,"57,928 km",PetrolMH-12,1st Owner,"₹10,35,000"
2015,Maruti,Swift Dzire ZXI 1.2 BS IV,Manual,"37,146 km",PetrolMH-01,2nd Owner,"₹5,60,000"
2020,Honda,Amaze 1.2 SMT I VTEC,Manual,"12,923 km",PetrolMH-12,2nd Owner,"₹6,85,000"
2018,Honda,City V CVT,Automatic,"13,685 km",PetrolMH-14,1st Owner,"₹9,46,000"
2020,Honda,Amaze 1.2 VX CVT I VTEC,Automatic,"5,741 km",PetrolMH-14,1st Owner,"₹9,54,000"
2020,Skoda,Rapid 1.0 AMBITION TSI MT,Manual,"20,822 km",PetrolMH-14,1st Owner,"₹9,33,000"
2015,Honda,Amaze 1.2 SX MT I VTEC,Manual,"79,837 km",PetrolMH-12,1st Owner,"₹4,69,000"
2017,Volkswagen,Vento HIGHLINE 1.2 TSI AT,Automatic,"52,022 km",PetrolMH-14,2nd Owner,"₹8,10,000"
2017,Maruti,Dzire ZXI AMT,Automatic,"32,740 km",PetrolMH-12,2nd Owner,"₹7,76,000"
2021,Tata,TIGOR Revotron XE,Manual,"6,295 km",PetrolMH-46,1st Owner,"₹6,36,000"
2014,Maruti,Swift Dzire VXI,Manual,"87,290 km",PetrolMH-12,1st Owner,"₹4,82,000"
2018,Honda,Amaze 1.2 V CVT I VTEC,Automatic,"44,088 km",PetrolMH-12,1st Owner,"₹6,98,000"
2013,Honda,Amaze 1.2 VXMT I VTEC,Manual,"82,039 km",PetrolMH-12,2nd Owner,"₹4,30,700"
2019,Ford,Figo Aspire 1.2 TITANIUM+ PETROL,Manual,"23,688 km",PetrolMH-12,1st Owner,"₹6,87,000"
2018,Honda,City ZX CVT,Automatic,"26,572 km",PetrolMH-12,2nd Owner,"₹9,89,000"
2017,Maruti,Ciaz SIGMA 1.4 VVT,Manual,"43,152 km",PetrolMH-12,1st Owner,"₹7,30,000"
2015,Tata,Zest XT QUADRAJET 90PS,Manual,"71,896 km",DieselMH-14,2nd Owner,"₹4,45,000"
2022,Honda,City ZX CVT,Automatic,"6,499 km",PetrolMH-12,1st Owner,"₹15,90,700"
2018,Honda,City ZX CVT ANNIVERSARY EDITION,Automatic,"35,832 km",PetrolMH-03,1st Owner,"₹11,35,000"
2020,Skoda,Rapid 1.0 AMBITION TSI AT,Automatic,"9,661 km",PetrolMH-14,1st Owner,"₹11,24,000"
2019,Maruti,Dzire ZXI Plus,Manual,"26,420 km",PetrolMH-47,1st Owner,"₹8,04,000"
2019,Toyota,YARIS J CVT,Automatic,"18,510 km",PetrolMH-12,1st Owner,"₹8,69,800"
2018,Toyota,YARIS VX CVT,Automatic,"52,933 km",PetrolMH-12,1st Owner,"₹9,21,000"
2017,Honda,City VX CVT PETROL,Automatic,"58,495 km",PetrolMH-12,1st Owner,"₹9,65,000"
2013,Honda,Amaze 1.2 VXMT I VTEC,Manual,"44,050 km",PetrolMH-12,1st Owner,"₹4,62,000"
2018,Maruti,Dzire VXI,Manual,"30,850 km",PetrolMH-06,1st Owner,"₹6,30,000"
2021,Volkswagen,Vento Highline 1.0 TSI MT,Manual,"29,343 km",PetrolMH-12,1st Owner,"₹8,97,000"
2015,Honda,City VX MT PETROL,Manual,"60,126 km",PetrolMH-14,1st Owner,"₹6,96,000"
2014,Volkswagen,Jetta COMFORTLINE 2.0L TDI,Manual,"87,293 km",DieselMH-46,2nd Owner,"₹6,02,300"
2014,Hyundai,Verna FLUIDIC 1.6 VTVT SX AT,Automatic,"32,390 km",PetrolMH-02,2nd Owner,"₹6,47,000"
2012,Honda,City S MT PETROL,Manual,"91,630 km",PetrolMH-14,3rd Owner,"₹3,84,600"
2014,Honda,Amaze 1.2 SMT I VTEC,Manual,"38,079 km",PetrolMH-02,1st Owner,"₹4,74,000"
2017,Volkswagen,Ameo COMFORTLINE 1.2,Manual,"50,076 km",PetrolMH-12,1st Owner,"₹5,00,000"
2019,Honda,Civic 1.8V AT,Automatic,"6,154 km",PetrolMH-02,2nd Owner,"₹14,93,000"
2013,Hyundai,Verna FLUIDIC 1.6 CRDI SX OPT,Manual,"97,234 km",DieselMH-12,1st Owner,"₹5,75,000"
2019,Toyota,YARIS J MT,Manual,"49,140 km",PetrolMH-01,1st Owner,"₹7,27,000"
2020,Skoda,Rapid 1.0 AMBITION TSI AT,Automatic,"9,661 km",PetrolMH-14,1st Owner,"₹11,24,000"
2019,Maruti,Dzire ZXI Plus,Manual,"26,420 km",PetrolMH-47,1st Owner,"₹8,04,000"
2019,Toyota,YARIS J CVT,Automatic,"18,510 km",PetrolMH-12,1st Owner,"₹8,69,800"
2018,Toyota,YARIS VX CVT,Automatic,"52,933 km",PetrolMH-12,1st Owner,"₹9,21,000"
2017,Honda,City VX CVT PETROL,Automatic,"58,495 km",PetrolMH-12,1st Owner,"₹9,65,000"
2013,Honda,Amaze 1.2 VXMT I VTEC,Manual,"44,050 km",PetrolMH-12,1st Owner,"₹4,62,000"
2018,Maruti,Dzire VXI,Manual,"30,850 km",PetrolMH-06,1st Owner,"₹6,30,000"
2021,Volkswagen,Vento Highline 1.0 TSI MT,Manual,"29,343 km",PetrolMH-12,1st Owner,"₹8,97,000"
2015,Honda,City VX MT PETROL,Manual,"60,126 km",PetrolMH-14,1st Owner,"₹6,96,000"
2014,Volkswagen,Jetta COMFORTLINE 2.0L TDI,Manual,"87,293 km",DieselMH-46,2nd Owner,"₹6,02,300"
2014,Hyundai,Verna FLUIDIC 1.6 VTVT SX AT,Automatic,"32,390 km",PetrolMH-02,2nd Owner,"₹6,47,000"
2012,Honda,City S MT PETROL,Manual,"91,630 km",PetrolMH-14,3rd Owner,"₹3,84,600"
2014,Honda,Amaze 1.2 SMT I VTEC,Manual,"38,079 km",PetrolMH-02,1st Owner,"₹4,74,000"
2017,Volkswagen,Ameo COMFORTLINE 1.2,Manual,"50,076 km",PetrolMH-12,1st Owner,"₹5,00,000"
2019,Honda,Civic 1.8V AT,Automatic,"6,154 km",PetrolMH-02,2nd Owner,"₹14,93,000"
2013,Hyundai,Verna FLUIDIC 1.6 CRDI SX OPT,Manual,"97,234 km",DieselMH-12,1st Owner,"₹5,75,000"
2019,Toyota,YARIS J MT,Manual,"49,140 km",PetrolMH-01,1st Owner,"₹7,27,000"
2016,Maruti,Ciaz VDI+ SHVS,Manual,"73,146 km",DieselMH-05,1st Owner,"₹5,89,000"
2020,Maruti,Ciaz 1.5 ZETA VVT SHVS AT,Automatic,"19,691 km",PetrolMH-14,1st Owner,"₹10,87,000"
2020,Toyota,YARIS J CVT,Automatic,"11,941 km",PetrolMH-01,1st Owner,"₹9,06,000"
2021,Maruti,S PRESSO VXI,Manual,"18,488 km",PetrolMH-14,1st Owner,"₹4,43,000"
2018,Hyundai,NEW SANTRO 1.1 SPORTS AMT,Automatic,"29,944 km",PetrolMH-20,2nd Owner,"₹5,50,000"
2017,Maruti,Wagon R 1.0 VXI OPT,Manual,"20,935 km",PetrolMH-12,2nd Owner,"₹4,12,000"
2018,Maruti,Wagon R 1.0 VXI,Manual,"10,950 km",PetrolMH-14,1st Owner,"₹4,77,000"
2018,Maruti,Celerio VXI (O) AMT,Automatic,"36,460 km",PetrolMH-14,1st Owner,"₹4,77,000"
2018,Maruti,Alto 800 VXI (O),Manual,"48,386 km",PetrolMH-12,1st Owner,"₹3,38,000"
2021,Hyundai,GRAND I10 NIOS MAGNA 1.2 KAPPA VTVT CNG,Manual,"8,423 km",Petrol + CNGMH-02,1st Owner,"₹8,03,000"
2019,Tata,Tiago XT 1.2 REVOTRON,Manual,"29,750 km",PetrolMH-01,1st Owner,"₹5,34,000"
2019,Maruti,Alto LXI CNG,Manual,"54,676 km",Petrol + CNGMH-14,1st Owner,"₹4,06,000"
2020,Maruti,New  Wagon-R 1.0 LXI (O),Manual,"9,220 km",PetrolMH-05,2nd Owner,"₹4,96,000"
2016,Maruti,Wagon R 1.0 VXI ABS AIR BAG,Manual,"39,970 km",PetrolMH-12,1st Owner,"₹4,07,000"
2020,Hyundai,GRAND I10 NIOS SPORTZ CNG MT,Manual,"54,885 km",Petrol + CNGMH-12,1st Owner,"₹7,34,000"
2019,Maruti,Swift VXI AMT,Automatic,"8,867 km",PetrolMH-14,1st Owner,"₹7,11,000"
2018,Maruti,Alto K10 VXI (O) AMT,Automatic,"8,033 km",PetrolMH-12,1st Owner,"₹4,77,000"
2020,Maruti,Celerio VXI CNG OPT,Manual,"74,744 km",Petrol + CNGMH-12,1st Owner,"₹5,78,000"
2014,Hyundai,i10 SPORTZ 1.1 IRDE2,Manual,"45,770 km",PetrolMH-12,1st Owner,"₹3,62,000"
2013,Maruti,Wagon R 1.0 LXI,Manual,"94,846 km",PetrolMH-14,2nd Owner,"₹3,21,000"
2012,Maruti,Alto K10 VXI,Manual,"34,557 km",PetrolMH-12,3rd Owner,"₹2,13,000"
2017,Maruti,Celerio VXI CNG OPT,Manual,"88,603 km",Petrol + CNGMH-12,1st Owner,"₹4,78,000"
2020,Maruti,New  Wagon-R LXI CNG 1.0 L,Manual,"14,436 km",Petrol + CNGMH-12,1st Owner,"₹6,56,000"
2016,Hyundai,Elite i20 SPORTZ 1.2,Manual,"53,657 km",PetrolMH-03,2nd Owner,"₹4,94,000"
2018,Maruti,Celerio ZXI OPT AMT,Automatic,"26,738 km",PetrolMH-12,1st Owner,"₹5,47,000"
2013,Maruti,Wagon R 1.0 LXI CNG,Manual,"84,227 km",Petrol + CNGMH-12,1st Owner,"₹3,70,000"
2017,Honda,Brio 1.2 S MT I VTEC,Manual,"19,986 km",PetrolMH-12,1st Owner,"₹4,57,399"
2018,Maruti,Baleno DELTA 1.2 K12,Manual,"61,868 km",PetrolMH-43,1st Owner,"₹5,80,000"
2019,Hyundai,Elite i20 1.2 SPORTS PLUS VTVT,Manual,"13,690 km",Petrol + CNGMH-14,1st Owner,"₹7,59,000"
2016,Maruti,Baleno DELTA PETROL 1.2,Manual,"62,338 km",PetrolMH-46,1st Owner,"₹5,49,000"
2018,Renault,Kwid RXT 1.0 EASY-R AT OPTION,Automatic,"45,167 km",PetrolMH-12,1st Owner,"₹4,31,000"
2018,Tata,Tiago XZA 1.2 REVOTRON,Automatic,"48,343 km",PetrolMH-14,2nd Owner,"₹5,37,000"
2013,Hyundai,Eon MAGNA PLUS,Manual,"99,423 km",PetrolMH-14,2nd Owner,"₹2,46,000"
2016,Maruti,Alto 800 LXI CNG,Manual,"35,985 km",Petrol + CNGMH-12,1st Owner,"₹3,31,000"
2012,Hyundai,i20 SPORTZ 1.4 CRDI,Manual,"67,377 km",DieselMH-14,2nd Owner,"₹4,14,000"
2019,Maruti,Celerio VXI CNG OPT,Manual,"89,495 km",Petrol + CNGMH-14,1st Owner,"₹5,83,000"
2014,Maruti,Ritz VXI,Manual,"58,849 km",PetrolMH-02,1st Owner,"₹3,61,000"
2017,Maruti,Celerio VXI AMT,Automatic,"41,953 km",PetrolMH-12,1st Owner,"₹4,74,500"
2016,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,"25,055 km",PetrolMH-14,2nd Owner,"₹4,64,799"
2019,Maruti,Celerio VXI CNG OPT,Manual,"28,767 km",Petrol + CNGMH-02,1st Owner,"₹5,77,000"
2012,Maruti,Alto K10 VXI,Manual,"15,685 km",PetrolMH-31,1st Owner,"₹2,48,000"
2017,Maruti,Wagon R 1.0 LXI CNG,Manual,"66,882 km",Petrol + CNGMH-12,2nd Owner,"₹4,69,000"
2017,Maruti,Celerio ZXI,Manual,"34,251 km",PetrolMH-43,1st Owner,"₹4,61,000"
2017,Maruti,Celerio VXI AMT,Automatic,"80,306 km",PetrolMH-12,2nd Owner,"₹4,53,000"
2020,Hyundai,NEW SANTRO SPORTZ 1.1,Manual,"19,156 km",PetrolMH-14,1st Owner,"₹5,62,000"
2017,Hyundai,i20 Active 1.2 SX,Manual,"28,501 km",PetrolMH-12,1st Owner,"₹7,55,000"
2019,Hyundai,Eon ERA PLUS,Manual,"53,001 km",PetrolMH-44,1st Owner,"₹3,16,000"
2015,Maruti,Alto K10 VXI AMT,Automatic,"7,639 km",PetrolMH-12,1st Owner,"₹3,88,000"
2017,Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,"38,831 km",Petrol + CNGMH-12,1st Owner,"₹5,45,000"
2018,Maruti,Wagon R 1.0 LXI CNG,Manual,"86,955 km",Petrol + CNGMH-14,1st Owner,"₹4,57,000"
2021,Honda,Jazz 1.2 ZX MT,Manual,"5,817 km",PetrolMH-12,1st Owner,"₹9,12,000"
2012,Honda,Brio 1.2 E MT I VTEC,Manual,"48,611 km",PetrolMH-03,2nd Owner,"₹2,99,000"
2014,Hyundai,i20 SPORTZ 1.2 VTVT,Manual,"58,238 km",PetrolMH-12,1st Owner,"₹4,57,000"
2016,Maruti,Wagon R 1.0 VXI,Manual,"52,538 km",PetrolMH-50,1st Owner,"₹4,03,000"
2016,Maruti,Wagon R 1.0 LXI CNG,Manual,"63,352 km",Petrol + CNGMH-14,1st Owner,"₹4,47,000"
2020,Hyundai,NEW SANTRO 1.1 SPORTS AMT,Automatic,"5,231 km",PetrolMH-02,1st Owner,"₹6,42,000"
2019,Maruti,Swift ZXI,Manual,"18,619 km",PetrolMH-14,1st Owner,"₹7,62,000"
2018,Volkswagen,Polo HIGH LINE PLUS 1.0,Manual,"32,262 km",PetrolMH-14,1st Owner,"₹6,97,000"
2014,Maruti,Wagon R 1.0 LXI,Manual,"56,242 km",PetrolMH-14,2nd Owner,"₹3,32,000"
2017,Maruti,Swift ZXI,Manual,"33,891 km",PetrolMH-12,1st Owner,"₹5,57,000"
2012,Honda,Brio 1.2 S (O) MT IVTEC,Manual,"59,849 km",PetrolMH-46,2nd Owner,"₹2,87,899"
2017,Hyundai,Elite i20 ASTA 1.2 DUAL TONE,Manual,"38,657 km",PetrolMH-10,1st Owner,"₹6,76,000"
2017,Maruti,Wagon R 1.0 VXI,Manual,"25,003 km",PetrolMH-02,1st Owner,"₹4,24,000"
2015,Toyota,Camry 2.5 AT,Automatic,"90,272 km",PetrolMH-14,2nd Owner,"₹11,38,000"
2017,Skoda,Octavia AMBITION PLUS 1.8 TSI AT,Automatic,"38,928 km",PetrolMH-09,1st Owner,"₹14,94,000"
2015,Hyundai,New Elantra 1.6 SX AT,Automatic,"85,761 km",DieselMH-12,2nd Owner,"₹9,30,300"
2014,Toyota,Corolla Altis VL AT,Automatic,"65,756 km",PetrolMH-12,1st Owner,"₹10,04,000"
2017,Skoda,Octavia 2.0 TDI STYLE PLUS AT,Automatic,"97,050 km",DieselMH-14,2nd Owner,"₹16,21,000"
2017,Hyundai,New Elantra 1.6 SX AT O,Automatic,"66,272 km",DieselMH-12,3rd Owner,"₹11,71,000"
2015,Honda,CRV 2.0 2WD AT,Automatic,"69,419 km",PetrolMH-02,1st Owner,"₹10,69,000"
2020,Jeep,Compass 1.4 LIMITED PLUS AT,Automatic,"52,332 km",PetrolMH-48,1st Owner,"₹19,79,000"
2018,Volkswagen,TIGUAN HIGHLINE A/T,Automatic,"66,433 km",DieselMH-04,2nd Owner,"₹20,55,000"
2019,Jeep,Compass 1.4  LONGITUDE (O) AT,Automatic,"30,596 km",PetrolMH-20,1st Owner,"₹17,82,000"
2018,Jeep,Compass 2.0 LONGITUDE (O),Manual,"72,621 km",DieselMH-12,1st Owner,"₹12,87,000"
2018,Hyundai,Tucson New 2WD AT GL DIESEL,Automatic,"51,318 km",DieselMH-12,2nd Owner,"₹17,61,000"
2018,Jeep,Compass LIMITED 1.4 AT,Automatic,"46,895 km",PetrolMH-02,1st Owner,"₹13,70,680"
2019,Jeep,Compass LIMITED 1.4 AT,Automatic,"23,409 km",PetrolMH-14,2nd Owner,"₹18,02,000"
2018,Jeep,Compass 2.0 LIMITED,Manual,"43,502 km",DieselMH-12,2nd Owner,"₹13,25,000"
2017,Maruti,Ciaz VXI PLUS,Manual,"27,620 km",PetrolMH-14,1st Owner,"₹7,38,000"
2022,Maruti,Dzire ZXI Plus AMT,Automatic,"10,323 km",PetrolMH-14,1st Owner,"₹9,74,000"
2019,Honda,Amaze 1.2 SMT I VTEC,Manual,"20,299 km",PetrolMH-04,1st Owner,"₹6,40,100"
2017,Maruti,Dzire VXI,Manual,"31,359 km",PetrolMH-02,1st Owner,"₹6,56,000"
2019,Ford,Figo Aspire TREND PLUS CNG,Manual,"47,681 km",Petrol + CNGMH-05,1st Owner,"₹6,69,000"
2019,Hyundai,Verna 1.6 SX+ VTVT AT,Automatic,"35,422 km",PetrolMH-12,1st Owner,"₹10,42,000"
2018,Maruti,Dzire VXI,Manual,"30,481 km",PetrolMH-01,1st Owner,"₹6,79,000"
2018,Maruti,Dzire VXI,Manual,"51,798 km",Petrol + CNGMH-48,1st Owner,"₹7,04,000"
2016,Skoda,Rapid 1.6 MPI STYLE PLUS AT,Automatic,"16,462 km",PetrolMH-12,1st Owner,"₹9,74,000"
2014,Honda,Amaze 1.5 VXMT I DTEC,Manual,"82,365 km",DieselMH-12,1st Owner,"₹5,06,000"
2018,Maruti,Dzire VXI AMT,Automatic,"79,437 km",PetrolMH-47,1st Owner,"₹5,95,000"
2018,Maruti,Dzire VXI,Manual,"14,576 km",PetrolMH-04,1st Owner,"₹7,04,000"
2020,Maruti,Dzire VXI,Manual,"13,435 km",PetrolMH-14,1st Owner,"₹7,63,000"
2016,Hyundai,Xcent S 1.2,Manual,"51,736 km",PetrolMH-04,1st Owner,"₹4,80,000"
2017,Hyundai,Verna 1.6 SX VTVT,Manual,"14,133 km",PetrolMH-03,2nd Owner,"₹8,37,000"
2018,Hyundai,Verna 1.6 SX VTVT AT (O),Automatic,"31,698 km",PetrolMH-12,2nd Owner,"₹10,16,000"
2015,Hyundai,Xcent S 1.2,Manual,"37,879 km",PetrolMH-03,1st Owner,"₹5,16,000"
2018,Honda,City ZX CVT ANNIVERSARY EDITION,Automatic,"35,832 km",PetrolMH-03,1st Owner,"₹11,35,000"
2020,Skoda,Rapid 1.0 AMBITION TSI AT,Automatic,"9,661 km",PetrolMH-14,1st Owner,"₹11,24,000"
2019,Maruti,Dzire ZXI Plus,Manual,"26,420 km",PetrolMH-47,1st Owner,"₹8,04,000"
2019,Toyota,YARIS J CVT,Automatic,"18,510 km",PetrolMH-12,1st Owner,"₹8,69,800"
2018,Toyota,YARIS VX CVT,Automatic,"52,933 km",PetrolMH-12,1st Owner,"₹9,21,000"
2017,Honda,City VX CVT PETROL,Automatic,"58,495 km",PetrolMH-12,1st Owner,"₹9,65,000"
2013,Honda,Amaze 1.2 VXMT I VTEC,Manual,"44,050 km",PetrolMH-12,1st Owner,"₹4,62,000"
2018,Maruti,Dzire VXI,Manual,"30,850 km",PetrolMH-06,1st Owner,"₹6,30,000"
2019,Toyota,YARIS G CVT,Automatic,"14,839 km",PetrolMH-12,1st Owner,"₹8,58,000"
2017,Honda,City SV MT PETROL,Manual,"29,160 km",PetrolMH-14,2nd Owner,"₹7,74,000"
2015,Honda,City SV CVT PETROL,Automatic,"46,875 km",PetrolMH-12,1st Owner,"₹6,82,000"
2019,Ford,Figo Aspire 1.2 Trend+ Petrol,Manual,"8,516 km",Petrol + CNGMH-04,1st Owner,"₹5,87,000"
2017,Maruti,Dzire VXI,Manual,"32,288 km",PetrolMH-12,1st Owner,"₹6,46,000"
2019,Hyundai,Verna 1.6 SX VTVT AT (O),Automatic,"33,395 km",PetrolMH-12,1st Owner,"₹11,65,000"
2014,Maruti,Swift Dzire VXI,Manual,"61,810 km",PetrolMH-02,2nd Owner,"₹3,96,000"
2017,Volkswagen,Vento HIGHLINE TDI AT,Automatic,"96,710 km",DieselMH-46,1st Owner,"₹8,27,299"
2018,Toyota,YARIS J MT,Manual,"28,641 km",PetrolMH-14,1st Owner,"₹7,90,000"
2020,Skoda,Rapid 1.0 AMBITION TSI MT,Manual,"29,229 km",PetrolMH-14,1st Owner,"₹9,18,000"
2015,Honda,City V MT DIESEL,Manual,"80,874 km",DieselMH-42,2nd Owner,"₹6,32,000"
2012,Honda,City S MT PETROL,Manual,"47,085 km",PetrolMH-12,1st Owner,"₹4,55,000"
2020,Hyundai,AURA SX PETROL,Manual,"35,201 km",PetrolMH-12,1st Owner,"₹7,35,000"
2020,Skoda,Rapid 1.0 AMBITION TSI AT,Automatic,"7,024 km",PetrolMH-12,2nd Owner,"₹11,03,000"
2020,Hyundai,AURA S CNG,Manual,"15,882 km",Petrol + CNGMH-12,1st Owner,"₹8,00,000"
2019,Honda,City SV MT DIESEL,Manual,"55,421 km",DieselMH-01,1st Owner,"₹9,40,000"
2017,Hyundai,Verna 1.6 SX VTVT,Manual,"29,150 km",PetrolMH-12,2nd Owner,"₹9,08,000"
2020,Skoda,Rapid 1.0 AMBITION TSI AT,Automatic,"9,661 km",PetrolMH-14,1st Owner,"₹11,24,000"
2018,Honda,City ZX CVT ANNIVERSARY EDITION,Automatic,"35,832 km",PetrolMH-03,1st Owner,"₹11,35,000"
2018,Toyota,YARIS VX CVT,Automatic,"52,933 km",PetrolMH-12,1st Owner,"₹9,21,000"
2021,Mahindra,XUV 3OO W8 (O) DIESEL  AT,Automatic,"39,370 km",DieselMH-04,1st Owner,"₹15,74,000"
2019,Jeep,Compass LIMITED 1.4 AT,Automatic,"23,409 km",PetrolMH-14,2nd Owner,"₹18,02,000"
2018,Hyundai,Tucson New 2WD AT GL DIESEL,Automatic,"51,318 km",DieselMH-12,2nd Owner,"₹17,61,000"
2018,Jeep,Compass LIMITED 1.4 AT,Automatic,"46,895 km",PetrolMH-02,1st Owner,"₹13,70,680"
2015,Honda,CRV 2.0 2WD AT,Automatic,"69,419 km",PetrolMH-02,1st Owner,"₹10,69,000"
2020,Jeep,Compass 1.4 LIMITED PLUS AT,Automatic,"52,332 km",PetrolMH-48,1st Owner,"₹19,79,000"
2018,Volkswagen,TIGUAN HIGHLINE A/T,Automatic,"66,433 km",DieselMH-04,2nd Owner,"₹20,55,000"
2018,Jeep,Compass 2.0 LONGITUDE (O),Manual,"72,621 km",DieselMH-12,1st Owner,"₹12,87,000"
2019,Jeep,Compass 1.4  LONGITUDE (O) AT,Automatic,"30,596 km",PetrolMH-20,1st Owner,"₹17,82,000"
2018,Jeep,Compass 2.0 LIMITED,Manual,"43,502 km",DieselMH-12,2nd Owner,"₹13,25,000"
2017,Skoda,Octavia AMBITION PLUS 1.8 TSI AT,Automatic,"38,928 km",PetrolMH-09,1st Owner,"₹14,94,000"
2015,Hyundai,New Elantra 1.6 SX AT,Automatic,"85,761 km",DieselMH-12,2nd Owner,"₹9,30,300"
