MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
2019,Maruti,Dzire VXI,Manual,"18,645 km",PetrolDL-6C,1st Owner,"₹7,05,000"
2017,Honda,Amaze 1.2 SMT I VTEC,Manual,"73,209 km",Petrol + CNGDL-9C,2nd Owner,"₹4,79,000"
2014,Honda,Amaze 1.2 EMT I VTEC,Manual,"27,324 km",PetrolDL-13,1st Owner,"₹4,31,000"
2015,Maruti,Ciaz VXI PLUS,Manual,"89,252 km",PetrolUP-14,1st Owner,"₹4,91,000"
2018,Honda,City V MT PETROL,Manual,"14,363 km",PetrolDL-8C,1st Owner,"₹9,02,000"
2012,Maruti,Swift Dzire VXI,Manual,"69,375 km",PetrolDL-3C,1st Owner,"₹3,70,000"
2018,Honda,Amaze 1.5 V CVT I-DTEC,Automatic,"70,270 km",DieselDL-10,2nd Owner,"₹6,22,000"
2019,Honda,Amaze 1.2 SMT I VTEC,Manual,"14,217 km",PetrolUP-14,1st Owner,"₹5,85,000"
2021,Hyundai,AURA S 1.2 Kappa MT,Manual,"26,468 km",PetrolDL-7C,1st Owner,"₹6,50,000"
2015,Maruti,Ciaz VXI PLUS,Manual,"75,823 km",PetrolUP-16,1st Owner,"₹5,38,000"
2011,Toyota,Etios VX,Manual,"35,311 km",PetrolDL-3C,1st Owner,"₹3,30,000"
2021,Skoda,Rapid 1.0 AMBITION TSI AT,Automatic,"10,439 km",PetrolDL-10,1st Owner,"₹11,54,000"
2012,Maruti,Swift Dzire VXI,Manual,"61,580 km",PetrolUP-14,1st Owner,"₹3,61,000"
2020,Skoda,Rapid 1.0 AMBITION TSI AT,Automatic,"16,292 km",PetrolHR-26,2nd Owner,"₹10,38,000"
2018,Maruti,Dzire VXI AMT,Automatic,"42,365 km",PetrolDL-9C,1st Owner,"₹6,19,000"
2019,Maruti,Ciaz ALPHA 1.5 MT VTVT SHVS,Manual,"28,892 km",PetrolDL-10,1st Owner,"₹8,14,000"
2013,Toyota,Etios V SP,Manual,"36,015 km",PetrolHR-26,1st Owner,"₹3,91,000"
2018,Ford,Figo Aspire 1.2 TITANIUM PETROL,Manual,"74,534 km",Petrol + CNGHR-26,1st Owner,"₹5,63,000"
2020,Toyota,YARIS G MT,Manual,"72,495 km",PetrolHR-36,1st Owner,"₹9,30,000"
2018,Honda,City VX CVT PETROL,Automatic,"75,891 km",PetrolUP-32,1st Owner,"₹9,71,000"
2018,Maruti,Dzire ZXI,Manual,"41,104 km",PetrolHR-26,1st Owner,"₹6,10,900"
2017,Hyundai,Verna FLUIDIC 1.6 VTVT S,Manual,"51,500 km",PetrolHR-26,1st Owner,"₹6,86,000"
2017,Maruti,Ciaz ZXI,Manual,"58,767 km",PetrolUP-14,2nd Owner,"₹7,31,000"
2016,Honda,City VX MT PETROL,Manual,"92,231 km",PetrolDL-2C,1st Owner,"₹6,90,000"
2019,Honda,Amaze 1.2 SMT I VTEC,Manual,"72,470 km",PetrolUP-14,1st Owner,"₹6,01,000"
2016,Honda,Amaze 1.2 SX MT I VTEC,Manual,"92,323 km",PetrolUP-16,1st Owner,"₹4,76,000"
2013,Maruti,Swift Dzire LXI 1.2 BS IV,Manual,"71,384 km",PetrolDL-7C,1st Owner,"₹3,47,000"
2019,Honda,Amaze 1.2 V CVT I VTEC,Automatic,"40,167 km",PetrolHR-26,1st Owner,"₹8,25,000"
2011,Honda,Accord 2.4 MT,Manual,"63,041 km",PetrolDL-7C,1st Owner,"₹5,08,000"
2018,Volkswagen,Polo COMFORTLINE 1.0 PETROL,Manual,"28,361 km",PetrolDL-8C,1st Owner,"₹6,23,000"
2021,Tata,Tiago XZ 1.2 REVOTRON,Manual,"16,183 km",PetrolHR-26,1st Owner,"₹6,13,300"
2021,Hyundai,GRAND I10 NIOS SPORTZ PETROL,Manual,"4,395 km",PetrolUP-16,1st Owner,"₹6,50,000"
2020,Maruti,Swift LXI,Manual,"12,421 km",PetrolDL-1C,1st Owner,"₹5,73,000"
2020,Maruti,Swift LXI,Manual,"36,522 km",PetrolUP-16,2nd Owner,"₹5,12,000"
2020,Maruti,New  Wagon-R LXI CNG 1.0 L,Manual,"73,674 km",Petrol + CNGDL-14,1st Owner,"₹5,69,000"
2018,Maruti,Alto 800 LXI,Manual,"41,438 km",PetrolUP-16,1st Owner,"₹2,94,700"
2018,Maruti,Wagon R 1.0 LXI CNG,Manual,"84,046 km",Petrol + CNGUP-16,1st Owner,"₹4,74,000"
2020,Maruti,Celerio VXI AMT,Automatic,"28,500 km",PetrolDL-5C,1st Owner,"₹5,34,000"
2021,Maruti,New  Wagon-R LXI CNG 1.0 L,Manual,"26,903 km",Petrol + CNGDL-6C,1st Owner,"₹6,41,000"
2019,Hyundai,NEW SANTRO ERA 1.1,Manual,"14,334 km",PetrolDL-4C,1st Owner,"₹4,58,000"
2020,Maruti,S PRESSO VXI OPT AGS,Automatic,"23,778 km",PetrolHR-36,1st Owner,"₹4,82,200"
2016,Hyundai,Elite i20 ERA 1.2,Manual,"57,762 km",PetrolDL-8C,2nd Owner,"₹4,32,000"
2015,Maruti,Celerio ZXI,Manual,"72,977 km",PetrolDL-1C,1st Owner,"₹3,76,000"
2010,Maruti,Zen Estilo LXI,Manual,"40,384 km",PetrolDL-8C,1st Owner,"₹1,67,000"
2021,Maruti,Swift ZXI+,Manual,"6,864 km",PetrolDL-8C,1st Owner,"₹8,55,000"
2019,Renault,Kwid 1.0 RXT Opt,Manual,"8,297 km",PetrolDL-10,1st Owner,"₹4,57,000"
2018,Tata,Tiago XZA 1.2 REVOTRON,Automatic,"37,635 km",PetrolDL-10,2nd Owner,"₹5,09,000"
2020,Maruti,Swift LXI,Manual,"38,580 km",PetrolDL-3C,1st Owner,"₹5,10,000"
2018,Maruti,Alto 800 LXI,Manual,"29,741 km",PetrolDL-3C,1st Owner,"₹3,11,000"
2017,Hyundai,Grand i10 MAGNA 1.2 VTVT,Manual,"32,864 km",PetrolDL-8C,1st Owner,"₹5,02,000"
2020,Tata,ALTROZ XZ 1.2,Manual,"21,058 km",PetrolHR-06,2nd Owner,"₹7,47,000"
2014,Hyundai,Grand i10 MAGNA 1.2 VTVT,Manual,"47,940 km",PetrolDL-8C,1st Owner,"₹4,22,000"
2019,Datsun,Redi Go A,Manual,"21,787 km",PetrolDL-9C,1st Owner,"₹2,85,000"
2017,Maruti,Baleno SIGMA PETROL 1.2,Manual,"19,206 km",PetrolDL-7C,1st Owner,"₹4,94,000"
2020,Maruti,Baleno DELTA 1.2 K12,Manual,"20,346 km",PetrolDL-6C,1st Owner,"₹6,84,000"
2018,Maruti,Baleno DELTA 1.2 K12,Manual,"39,903 km",PetrolDL-7C,2nd Owner,"₹5,37,000"
2019,Maruti,Baleno DELTA PETROL 1.2,Manual,"33,785 km",PetrolDL-3C,1st Owner,"₹6,75,000"
2017,Hyundai,Grand i10 MAGNA 1.2 VTVT,Manual,"18,042 km",PetrolDL-8C,1st Owner,"₹4,71,000"
2013,Hyundai,i10 SPORTZ 1.2 KAPPA2,Manual,"49,166 km",PetrolDL-4C,3rd Owner,"₹2,39,000"
2016,Maruti,Baleno DELTA 1.2 K12,Manual,"45,729 km",PetrolDL-14,1st Owner,"₹5,13,000"
2019,Maruti,Alto K10 VXI AMT,Automatic,"8,041 km",PetrolDL-7C,1st Owner,"₹4,19,199"
2018,Tata,Tiago XE 1.2 REVOTRON,Manual,"31,773 km",Petrol + CNGHR-26,1st Owner,"₹4,34,000"
2020,Maruti,Alto VXI,Manual,"19,039 km",PetrolDL-3C,2nd Owner,"₹3,69,000"
2014,Maruti,Alto K10 LXI,Manual,"57,971 km",PetrolUP-21,1st Owner,"₹2,58,000"
2020,Maruti,Alto VXI,Manual,"18,261 km",PetrolHR-49,1st Owner,"₹3,59,000"
2017,Maruti,Celerio VXI AMT,Automatic,"29,507 km",PetrolDL-4C,2nd Owner,"₹4,26,000"
2014,Maruti,Swift LXI,Manual,"54,460 km",PetrolDL-8C,3rd Owner,"₹3,33,000"
2019,Maruti,Baleno DELTA PETROL 1.2,Manual,"28,670 km",PetrolDL-8C,1st Owner,"₹6,28,000"
2018,Maruti,Alto 800 LXI,Manual,"32,198 km",PetrolHR-51,1st Owner,"₹3,25,000"
2017,Toyota,Corolla Altis G AT,Automatic,"75,766 km",PetrolDL-10,1st Owner,"₹12,58,000"
2014,Mercedes,Benz C Class C 200 AVANTGARDE,Automatic,"38,381 km",PetrolUP-16,1st Owner,"₹18,54,000"
2014,Audi,A3 35TDI PREMIUM,Automatic,"91,887 km",DieselHR-26,2nd Owner,"₹9,66,000"
2010,Toyota,Corolla Altis 1.8 J,Manual,"45,566 km",PetrolDL-4C,1st Owner,"₹3,15,000"
2018,Toyota,Corolla Altis VL AT,Automatic,"65,783 km",PetrolDL-1C,1st Owner,"₹14,48,000"
2017,Toyota,Corolla Altis G,Manual,"16,398 km",PetrolHR-26,1st Owner,"₹12,43,000"
